iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49979998e8,1.018182e6,73758.7366502256,1.904160582,0.342646683,2.2468090057373047
2,-3.3787299e7,1.018182e6,3418.3948449294917,1.927327964,0.345408504,2.375073194503784
3,831871.0082280339,881754.648995187,5.657315311464313,1.9801151160000001,0.394472068,2.4787490367889404
4,865880.6347820086,879728.6868629807,1.5741276018124184,2.4599076490000003,0.422373862,3.011280059814453
5,874032.8777892862,875796.9390628099,0.20142354863804893,2.9272119790000004,0.45821263,3.53182315826416
6,875471.3987618778,875723.4226269424,0.028778933913700747,3.63795831,0.489397451,4.298107147216797
7,875603.3295823813,875633.2878932178,0.003421330738640651,4.12349247,0.519770753,4.838184118270874
8,875623.8093236429,875625.6133786944,0.00020603041116713233,4.493661663,0.550220521,5.262850046157837
9,875624.6138970446,875624.9750915825,4.124991271688711e-5,4.76929788,0.586499256,5.598981142044067
10,875624.6740122214,875624.691092476,1.950636476300238e-6,4.857634714,0.62278136,5.745166063308716
11,875624.6741566827,875624.6741566836,1.0636093318320863e-13,4.940748618,0.657524401,5.884597063064575
