iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49979991e8,1.012861e6,74145.69738591969,1.75465352,0.319639603,2.074294090270996
2,-3.2828632e7,1.012861e6,3341.178404539221,1.778689289,0.332251735,2.1945199966430664
3,832704.3167888544,881492.712689797,5.534747502570854,1.867169948,0.374990775,2.3275489807128906
4,863345.6020217084,878551.0647934788,1.7307431953707528,2.468837339,0.401309536,2.9790890216827393
5,872527.2078204186,874492.8509727056,0.22477521115245205,2.954717126,0.433265608,3.5128350257873535
6,873894.3473859982,874207.1890578244,0.0357857583124392,3.6170926139999997,0.460986451,4.225399971008301
7,874081.7266797627,874125.0349581722,0.004954471806382216,4.194399516,0.48877943300000004,4.8525590896606445
8,874105.9725675709,874110.9128202571,0.0005651745806867087,4.573689545,0.520882018,5.28613805770874
9,874108.8060791781,874109.1129829733,3.5110467407829205e-5,4.827844664,0.553785542,5.59237003326416
10,874108.9097260758,874108.938683008,3.3127372173725665e-6,5.099956571,0.58556926,5.915428876876831
11,874108.9109320394,874108.9109320394,0.0,5.166076942,0.617085212,6.032089948654175
