iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.499998e8,998397.0,75220.39799799077,1.869964312,0.313671347,2.1836369037628174
2,-4.5854821e7,863058.0,5413.0636643192,1.878224635,0.318824572,2.2907450199127197
3,753647.2899968593,774501.6224579138,2.6926131406765093,1.9365803590000001,0.34333689599999995,2.375394821166992
4,757119.9865108404,764137.9615425733,0.9184172734417841,2.7251416930000003,0.34985911999999997,3.1779298782348633
5,760907.0347022631,763194.3450218465,0.29970221012551174,3.802345798,0.35616180099999994,4.2658469676971436
6,762310.7005288695,762857.2965259386,0.07165114623118057,4.909387933,0.36306373499999994,5.38824987411499
7,762525.2348282863,762600.5437198593,0.009875273784312195,5.918368377,0.36986466399999995,6.408380031585693
8,762565.3625027045,762574.6643650491,0.0012197969299644314,6.462517677,0.38035407099999996,6.967361927032471
9,762568.3143180076,762569.3729919597,0.00013882985464920368,6.697345167,0.38719038499999997,7.213268995285034
10,762568.505620195,762568.6254208895,1.5710152571977578e-5,6.830578709,0.39782922099999996,7.361729860305786
11,762568.5145449918,762568.5149734914,5.619162678783401e-8,6.969962183,0.40989755099999997,7.517655849456787
12,762568.5145450626,762568.5145450627,1.5266211442834943e-14,7.010607928,0.416674748,7.5692479610443115
