iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49997999e8,1.010953e6,74287.22720047322,1.58798786,0.342773789,1.9307630062103271
2,-4.6474505e7,1.010953e6,4697.098480344784,1.604626714,0.345788371,2.262049913406372
3,767141.8310397023,800625.3336548012,4.18216876329019,1.662716822,0.557316581,2.533484935760498
4,780141.4290772545,792014.4160870966,1.4990872348637163,2.3302755569999998,0.568351232,3.225519895553589
5,789234.77373715,791229.7076946071,0.2521308209305845,3.457801968,0.5856658730000001,4.3777618408203125
6,790091.2119597385,790483.2258537275,0.049591677744414295,4.132346937,0.599616554,5.074717998504639
7,790306.953945844,790379.3563953906,0.009160468192997064,4.870393386,0.613882023,5.839116811752319
8,790341.8806403222,790350.4534239979,0.0010846813130159397,5.424866382,0.6311791370000001,6.419535875320435
9,790344.878440242,790345.709977537,0.00010521184394612503,5.6246433620000005,0.645121958,6.641674995422363
10,790345.0576936562,790345.0742598743,2.0960740630053263e-6,5.786651483000001,0.6625784320000001,6.829777956008911
11,790345.060675212,790345.0609477651,3.448533997908272e-8,5.838855958000001,0.6809979830000001,6.908919811248779
12,790345.0606928391,790345.0606928391,0.0,5.887157754,0.6953912240000001,6.980541944503784
