iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49998e8,990837.0,75793.37842652222,1.953731814,0.313631371,2.267364025115967
2,-4.2573247e7,990837.0,4396.695319209921,1.969449447,0.316061689,2.3822860717773438
3,768586.3391257479,799200.1196162191,3.8305525411047356,2.022266472,0.34903817699999995,2.4698779582977295
4,780175.5628426592,791311.7012239738,1.4073011133399878,2.761095401,0.36077706499999995,3.2333390712738037
5,788352.430345788,790426.7243620317,0.2624271108644332,3.77750107,0.37871885299999997,4.2755491733551025
6,789265.640289623,789623.7554536574,0.04535263301805755,4.425337217,0.39203522199999996,4.9452080726623535
7,789478.1310379462,789537.9867110959,0.007581101119533071,5.075473058,0.40466781199999996,5.617151975631714
8,789508.9242960537,789517.5721862908,0.001095338538583293,5.484907255,0.41648063399999996,6.04665207862854
9,789512.2963650035,789513.2658078396,0.00012278993629491908,5.688705801,0.429022007,6.274618148803711
10,789512.4225233111,789512.5109242066,1.1196896091107684e-5,5.837449039,0.44523045299999997,6.447765111923218
11,789512.4315740052,789512.4351959279,4.587543562364781e-7,5.87914393,0.45767516999999996,6.510205030441284
12,789512.43182572,789512.4351959279,4.2687204160184693e-7,5.9172322589999995,0.47486818899999994,6.573991060256958
13,789512.4318806865,789512.4318806864,-1.474521706385592e-14,5.958419623999999,0.48697754899999995,6.6357481479644775
