iter,LB,UB,gap,master_time,sub_time,total_time
1,-4.999998e8,669973.0,74729.84329219237,1.871022317,0.325704129,2.196727991104126
2,-2.014734e7,575968.0,3597.996416467581,1.875909321,0.32720288200000003,2.467910051345825
3,503266.42651763104,519427.7752654122,3.111375540039837,1.9036814979999999,0.33377814800000005,2.503391981124878
4,506341.5945823729,512001.01861583535,1.105354057451358,2.178123062,0.33771986900000006,2.786234140396118
5,509305.32188886934,511141.8951093468,0.3593079021794032,2.815096893,0.3412892940000001,3.429443120956421
6,510371.131798009,510806.6153368933,0.08525409143284196,3.223475989,0.34496648600000007,3.8438880443573
7,510553.53541330795,510632.95770814136,0.015553695395979736,3.5261362760000003,0.3483086780000001,4.325493097305298
8,510585.0642094239,510599.8352151496,0.00289287318698348,3.7301970050000004,0.3516299440000001,4.535491943359375
9,510588.6585913176,510589.70491257426,0.00020492408025490119,3.8298298730000004,0.3549339270000001,4.641081094741821
10,510588.95798811,510589.16275247297,4.010354662536152e-5,3.8965290130000003,0.3581857600000001,4.713663101196289
11,510588.96603526076,510588.96603526076,0.0,3.9633891670000003,0.3614282490000001,4.786296129226685
