iter,LB,UB,gap,master_time,sub_time,total_time
1,-4.9999799e8,671783.0,74528.49699977522,1.753022532,0.288309751,2.041332960128784
2,-1.9467992e7,671783.0,2997.958418120137,1.7609336999999998,0.289653419,2.1259307861328125
3,515441.57911207294,540483.2049135143,4.633192220181647,1.7852628339999999,0.29923386100000005,2.1609599590301514
4,525910.505499567,534578.9614381549,1.6215482770342329,2.068393348,0.305076726,2.4560678005218506
5,532584.9107483883,533934.89927477,0.2528376639578045,2.538213307,0.321586099,2.946117877960205
6,533153.8175455754,533483.1280661583,0.061728385258698185,2.77006966,0.327796631,3.188443899154663
7,533311.2391990725,533359.4598930768,0.009040937234710725,2.948072125,0.334587248,3.3776309490203857
8,533334.1843089439,533346.4155515316,0.002293301732425668,3.0697555199999997,0.341281919,3.5106699466705322
9,533338.1224955772,533339.6503080783,0.00028646145100665943,3.151678531,0.352830478,3.6086819171905518
10,533338.5705240284,533338.6580463863,1.64102782752856e-5,3.235664984,0.359740263,3.7044708728790283
11,533338.574748347,533338.5753738942,1.1728893557046974e-7,3.262071758,0.366248899,3.742231845855713
12,533338.5748547546,533338.5748547547,2.1827658323540252e-14,3.2838975489999997,0.372976996,3.775336980819702
