iter,LB,UB,gap,master_time,sub_time,total_time
1,-7.49979901e8,1.028543e6,73016.72793456375,1.895597052,0.475345553,2.370943069458008
2,-3.8322049e7,1.028543e6,3825.857742457048,1.919768619,0.497245381,2.5130181312561035
3,828643.88276842,879793.6845473463,5.813840526173229,1.981546247,0.54347088,2.622847080230713
4,862637.2678521298,878204.6833188437,1.772640907343237,2.508703053,0.568854187,3.2057440280914307
5,871368.2508136267,873496.6774009647,0.24366739363805928,2.928384127,0.6021295680000001,3.67480206489563
6,873013.245654413,873325.8432368434,0.035793923293481474,3.6216771850000002,0.6343715900000001,4.420180082321167
7,873162.758701878,873213.2811955833,0.005785813705913366,4.135943431,0.6659565730000001,4.985918045043945
8,873189.5761919251,873193.1144095547,0.0004052044812616021,4.531180937,0.6974487100000001,5.431977987289429
9,873191.3773397073,873191.9100502875,6.100727389063584e-5,4.794829899,0.7292243300000001,5.74717116355896
10,873191.4667250075,873191.4874998209,2.379181848004533e-6,4.871146137,0.7574269280000001,5.874660968780518
11,873191.4683024269,873191.4683024272,3.999649311276186e-14,4.947876327,0.7900188140000001,6.007037162780762
