instance_name,objective_value
f25-c50-s64-r10-1,39895.32422156299
f25-c50-s64-r10-2,36827.407498860266
f25-c50-s64-r10-3,39861.02618789743
f25-c50-s64-r10-4,35045.23351540146
f25-c50-s64-r10-5,48754.14124958124
